chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	1	822499	2.0	1.0	3.0
1	822500	13961582	2.0	1.0	3.0
1	13961583	13963338	2.0	1.0	3.0
1	13963339	17047420	2.0	1.0	3.0
1	17047421	22814297	2.0	1.0	3.0
1	22814298	23308790	4.0	1.0	5.0
1	23308791	121499999	2.0	1.0	3.0
1	121500000	128899999	2.0	1.0	3.0
1	128900000	149011742	2.0	1.0	3.0
1	149011743	247249600	2.0	1.0	3.0
1	247249601	249250620	2.0	1.0	3.0
2	52437	42720233	2.0	0.0	2.0
2	42720234	77764478	2.0	2.0	4.0
2	77764479	77779791	2.0	2.0	4.0
2	77779792	77805818	2.0	2.0	4.0
2	77805819	78007406	2.0	2.0	4.0
2	78007407	78042111	2.0	2.0	4.0
2	78042112	78115986	2.0	1.0	3.0
2	78115987	90499999	2.0	2.0	4.0
2	90500000	96799999	2.0	2.0	4.0
2	96800000	194569801	2.0	2.0	4.0
2	194569802	213071670	2.0	2.0	4.0
2	213071671	213154690	2.0	1.0	3.0
2	213154691	242951000	2.0	2.0	4.0
3	62226	14218688	2.0	1.0	3.0
3	14218689	14518793	2.0	2.0	4.0
3	14518794	87899999	2.0	1.0	3.0
3	87900000	93899999	2.0	1.0	3.0
3	93900000	176820118	2.0	1.0	3.0
3	176820119	176822673	2.0	1.0	3.0
3	176822674	198022429	2.0	1.0	3.0
4	27500	48199999	2.0	1.0	3.0
4	48200000	52699999	2.0	1.0	3.0
4	52700000	83900001	2.0	1.0	3.0
4	83900002	83941002	1.0	1.0	2.0
4	83941003	116849849	2.0	1.0	3.0
4	116849850	116943099	4.0	1.0	5.0
4	116943100	181763052	2.0	1.0	3.0
4	181763053	181970284	2.0	0.0	2.0
4	181970285	191154275	2.0	1.0	3.0
5	22500	46099999	2.0	1.0	3.0
5	46100000	50699999	2.0	1.0	3.0
5	50700000	58688853	2.0	1.0	3.0
5	58688854	58742501	2.0	1.0	3.0
5	58742502	59153434	2.0	1.0	3.0
5	59153435	59170366	2.0	1.0	3.0
5	59170367	59180790	1.0	1.0	2.0
5	59180791	59207291	2.0	1.0	3.0
5	59207292	59207454	1.0	0.0	1.0
5	59207455	59208821	1.0	0.0	1.0
5	59208822	59233704	1.0	1.0	2.0
5	59233705	59330278	1.0	0.0	1.0
5	59330279	59454801	1.0	0.0	1.0
5	59454802	59522251	1.0	1.0	2.0
