chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	61735	249224388	1	1	2
2	12784	112669950	1	1	2
2	112670185	243089456	2	0	2
3	60345	60488861	1	1	2
3	60488975	60647490	1	0	1
3	60647540	197896118	1	1	2
4	12281	183507800	1	1	2
4	183510105	191027923	2	0	2
5	15532	44210971	2	1	3
5	44211467	180790320	1	1	2
6	149661	171051005	1	1	2
7	43259	159127004	1	1	2
8	31254	46938171	1	0	1
8	46940022	146298155	2	1	3
9	46587	9196072	1	1	2
9	9196248	9698530	1	0	1
9	9698642	10815300	1	1	2
9	10816593	12626538	2	0	2
9	12627054	141091394	1	1	2
10	72759	135506704	1	1	2
11	198572	2119570	4	1	5
11	2128186	2973740	3	1	4
11	2974357	5332754	1	1	2
11	5335943	5507795	3	1	4
11	5509689	128058582	1	1	2
11	128059483	134944770	1	0	1
12	150442	2482437	1	0	1
12	2485775	4787821	5	1	6
12	4788366	31037977	2	1	3
12	31038082	133778189	1	1	2
13	19026949	115108397	1	1	2
14	19002124	22590877	1	1	2
14	22590996	22940138	1	0	1
14	22940257	107285437	1	1	2
15	20016328	102469040	1	1	2
16	60777	90287535	1	1	2
17	526	81049726	1	1	2
18	48133	78015057	1	1	2
19	90910	59097854	1	1	2
20	61305	62956153	2	1	3
21	10736871	48096957	1	1	2
22	16052528	51234455	1	1	2
