chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	61735	249224388	1	1	2
2	12784	21897562	1	1	2
2	21898604	22189240	1	0	1
2	22189988	243089456	1	1	2
3	60345	34047877	2	1	3
3	34053423	62871502	1	0	1
3	62875114	63667679	2	1	3
3	63670140	69045948	1	0	1
3	69047141	87226521	2	1	3
3	87228472	87855041	1	0	1
3	87858009	197896118	2	1	3
4	12281	87737413	1	1	2
4	87737858	87927534	1	0	1
4	87934059	191027923	1	1	2
5	15532	180790320	1	1	2
6	149661	171051005	1	1	2
7	43259	123356969	2	2	4
7	123357278	151210711	2	0	2
7	151211490	159127004	2	1	3
8	31254	116064920	2	1	3
8	116066542	120530046	2	0	2
8	120531581	146298155	2	1	3
9	46587	141091394	1	1	2
10	72759	135506704	1	1	2
11	198572	48142888	1	1	2
11	48144114	56608393	2	0	2
11	56622717	134944770	1	1	2
12	150442	133778189	2	1	3
13	19026949	115108397	1	0	1
14	19002124	22385053	1	1	2
14	22385523	22978577	2	1	3
14	22978760	107285437	1	1	2
15	20016328	102469040	1	1	2
16	60777	5468157	1	1	2
16	5473687	6571994	1	0	1
16	6572049	6612737	0	0	0
16	6613249	7033748	1	0	1
16	7034268	35283226	2	1	3
16	46463782	90287535	1	1	2
17	526	17882865	1	0	1
17	17888549	68439769	1	1	2
17	68441938	78484233	1	0	1
17	78484427	81049726	1	1	2
18	48133	78015057	1	1	2
19	90910	59097854	1	1	2
20	61305	26224651	1	1	2
20	26225145	62956153	2	1	3
21	10736871	48096957	1	1	2
22	16052528	51234455	1	1	2
