chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	61735	249224388	1	1	2
2	12784	141504913	1	1	2
2	141510372	141874778	1	0	1
2	141875275	243089456	1	1	2
3	60345	60019926	1	1	2
3	60020000	60368546	1	0	1
3	60370637	60446312	0	0	0
3	60448591	60636421	1	0	1
3	60637482	93543202	1	1	2
3	93547195	128983264	2	1	3
3	128983459	136564784	1	1	2
3	136564849	141290189	2	1	3
3	141293537	197896118	3	1	4
4	12281	191027923	1	1	2
5	15532	93587000	1	1	2
5	93588720	93945674	1	0	1
5	93947146	180790320	1	1	2
6	149661	1803187	1	1	2
6	1803392	2103936	1	0	1
6	2106309	171051005	1	1	2
7	43259	159127004	1	1	2
8	31254	146298155	1	1	2
9	46587	141091394	1	1	2
10	72759	47094644	1	1	2
10	47096230	48005227	2	0	2
10	48036571	135506704	1	1	2
11	198572	134944770	1	1	2
12	150442	133778189	1	1	2
13	19026949	115108397	1	1	2
14	19002124	107285437	1	1	2
15	20016328	102469040	1	1	2
16	60777	82862677	1	1	2
16	82864247	82979108	1	0	1
16	82979273	90287535	1	1	2
17	526	74036112	1	1	2
17	74036468	81049726	1	0	1
18	48133	78015057	1	1	2
19	90910	59097854	1	1	2
20	61305	62956153	1	1	2
21	10736871	48096957	1	1	2
22	16052528	36475682	1	1	2
22	36478767	36658810	1	0	1
22	36663248	51234455	1	1	2
