chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	1	121499999	1.0	1.0	2.0
1	121500000	128899999	1.0	1.0	2.0
1	128900000	247247500	1.0	1.0	2.0
1	247247501	249250620	1.0	1.0	2.0
2	26530	37382684	1.0	1.0	2.0
2	37382685	37382974	1.0	1.0	2.0
2	37382975	37451424	1.0	1.0	2.0
2	37451425	37451462	1.0	1.0	2.0
2	37451463	90499999	1.0	1.0	2.0
2	90500000	96799999	1.0	1.0	2.0
2	96800000	242999968	1.0	1.0	2.0
3	12309	67499	1.0	0.0	1.0
3	67500	212833	1.0	0.0	1.0
3	212834	46491266	1.0	1.0	2.0
3	46491267	87899999	1.0	1.0	2.0
3	87900000	93899999	1.0	1.0	2.0
3	93900000	198022429	1.0	1.0	2.0
4	42231	48199999	1.0	1.0	2.0
4	48200000	52699999	1.0	1.0	2.0
4	52700000	190987500	1.0	1.0	2.0
5	14676	46099999	1.0	1.0	2.0
5	46100000	50699999	1.0	1.0	2.0
5	50700000	180663035	1.0	1.0	2.0
6	39681	212499	1.0	1.0	2.0
6	212500	58699999	1.0	1.0	2.0
6	58700000	63299999	1.0	1.0	2.0
6	63300000	170897500	1.0	1.0	2.0
7	63798	57999999	1.0	1.0	2.0
7	58000000	61699999	1.0	1.0	2.0
7	61700000	158817500	1.0	1.0	2.0
8	1	172499	1.0	1.0	2.0
8	172500	12919784	1.0	1.0	2.0
8	12919785	43099999	1.0	0.0	1.0
8	43100000	48099999	1.0	0.0	1.0
8	48100000	49237203	1.0	0.0	1.0
8	49237204	49369981	1.0	1.0	2.0
8	49369982	49814885	1.0	0.0	1.0
8	49814886	49826729	1.0	1.0	2.0
8	49826730	51030124	1.0	0.0	1.0
8	51030125	51031473	1.0	0.0	1.0
8	51031474	51031598	1.0	0.0	1.0
8	51031599	51082586	1.0	1.0	2.0
8	51082587	51083307	1.0	1.0	2.0
8	51083308	51097912	1.0	1.0	2.0
8	51097913	51100999	1.0	1.0	2.0
8	51101000	51513179	1.0	1.0	2.0
8	51513180	51513452	1.0	1.0	2.0
8	51513453	145859992	1.0	1.0	2.0
9	57153	10417500	1.0	1.0	2.0
9	10417501	10470008	1.0	1.0	2.0
9	10470009	47299999	1.0	1.0	2.0
9	47300000	50699999	1.0	1.0	2.0
9	50700000	65607499	1.0	1.0	2.0
9	65607500	140267500	1.0	1.0	2.0
9	140267501	140981439	1.0	1.0	2.0
10	102500	37999999	1.0	1.0	2.0
10	38000000	42409999	1.0	1.0	2.0
10	42410000	135389924	1.0	1.0	2.0
11	20721	187499	1.0	0.0	1.0
11	187500	48871202	1.0	0.0	1.0
11	48871203	51599999	1.0	1.0	2.0
11	51600000	55699999	1.0	1.0	2.0
11	55700000	62150587	1.0	1.0	2.0
11	62150588	63856943	1.0	0.0	1.0
11	63856944	134061399	1.0	1.0	2.0
11	134061400	134762939	1.0	0.0	1.0
11	134762940	134825278	2.0	0.0	2.0
12	110107	188284	1.0	0.0	1.0
12	188285	19030040	1.0	0.0	1.0
12	19030041	33299999	1.0	1.0	2.0
12	33300000	38199999	1.0	1.0	2.0
12	38200000	57771526	1.0	1.0	2.0
12	57771527	57781867	21.0	1.0	22.0
12	57781868	57820418	21.0	1.0	22.0
12	57820419	57824405	19.0	1.0	20.0
12	57824406	57833352	19.0	1.0	20.0
12	57833353	57834780	19.0	1.0	20.0
12	57834781	57837399	19.0	1.0	20.0
12	57837400	57838324	19.0	1.0	20.0
12	57838325	57840419	19.0	1.0	20.0
12	57840420	57840596	19.0	1.0	20.0
12	57840597	57869210	20.0	1.0	21.0
12	57869211	57895422	19.0	1.0	20.0
12	57895423	57912012	19.0	1.0	20.0
12	57912013	57912883	19.0	1.0	20.0
12	57912884	57914235	19.0	1.0	20.0
12	57914236	57916191	19.0	1.0	20.0
