chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	53202	790008	1.0	1.0	2.0
1	790009	44586628	1.0	1.0	2.0
1	44586629	44591251	1.0	1.0	2.0
1	44591252	72753084	1.0	1.0	2.0
1	72753085	72758309	1.0	1.0	2.0
1	72758310	102725288	1.0	1.0	2.0
1	102725289	114046246	1.0	1.0	2.0
1	114046247	118026657	1.0	1.0	2.0
1	118026658	118482202	13.0	1.0	14.0
1	118482203	118522500	16.0	1.0	17.0
1	118522501	118874855	2.0	1.0	3.0
1	118874856	118982796	2.0	1.0	3.0
1	118982797	119965257	12.0	1.0	13.0
1	119965258	120227282	16.0	1.0	17.0
1	120227283	120529370	18.0	1.0	19.0
1	120529371	120567039	17.0	1.0	18.0
1	120567040	120693039	17.0	1.0	18.0
1	128900000	143540938	1.0	0.0	1.0
1	143540939	144599889	10.0	1.0	11.0
1	144599890	144902201	10.0	1.0	11.0
1	144902202	144964400	9.0	1.0	10.0
1	144964401	145144002	2.0	1.0	3.0
1	145144003	149331742	2.0	1.0	3.0
1	149331743	176336517	2.0	1.0	3.0
1	176336518	195786034	2.0	1.0	3.0
1	195786035	247249600	2.0	1.0	3.0
1	247249601	249250620	2.0	1.0	3.0
2	54197	4492668	1.0	1.0	2.0
2	4492669	4494092	1.0	1.0	2.0
2	4494093	44116289	1.0	1.0	2.0
2	44116290	51240055	2.0	1.0	3.0
2	51240056	51891099	3.0	1.0	4.0
2	51891100	51893337	3.0	1.0	4.0
2	51893338	53882689	1.0	1.0	2.0
2	53882690	57815172	1.0	1.0	2.0
2	57815173	57824992	42.0	1.0	43.0
2	57824993	57842486	42.0	1.0	43.0
2	57842487	57861532	42.0	1.0	43.0
2	57861533	57891619	41.0	1.0	42.0
2	57891620	57941618	39.0	1.0	40.0
2	57941619	58053365	35.0	1.0	36.0
2	58053366	58679735	29.0	1.0	30.0
2	58679736	58725241	29.0	1.0	30.0
2	58725242	58725990	28.0	0.0	28.0
2	58725991	58728449	30.0	1.0	31.0
2	58728450	58736077	30.0	1.0	31.0
2	58736078	58739339	30.0	1.0	31.0
2	58739340	59874578	27.0	1.0	28.0
2	59874579	59884240	28.0	1.0	29.0
2	59884241	60282727	25.0	1.0	26.0
2	60282728	60346447	59.0	1.0	60.0
2	60346448	60636199	30.0	1.0	31.0
2	60636200	60637129	30.0	1.0	31.0
2	60637130	61062007	21.0	1.0	22.0
2	61062008	61148478	21.0	1.0	22.0
2	61148479	61373319	9.0	1.0	10.0
2	61373320	63360146	2.0	1.0	3.0
2	63360147	68868325	4.0	1.0	5.0
2	68868326	82007039	2.0	1.0	3.0
2	82007040	82008849	2.0	1.0	3.0
2	82008850	82321239	2.0	1.0	3.0
2	82321240	82322759	2.0	1.0	3.0
2	82322760	90499999	2.0	1.0	3.0
2	90500000	96799999	2.0	1.0	3.0
2	96800000	119441465	2.0	1.0	3.0
2	119441466	119441899	2.0	1.0	3.0
2	119441900	140728755	2.0	1.0	3.0
2	140728756	140735562	2.0	1.0	3.0
2	140735563	141975982	2.0	1.0	3.0
2	141975983	142132180	2.0	0.0	2.0
2	142132181	209093098	2.0	1.0	3.0
2	209093099	209093578	2.0	1.0	3.0
2	209093579	221278027	2.0	1.0	3.0
2	221278028	242951000	2.0	1.0	3.0
3	67116	227500	2.0	0.0	2.0
3	227501	24434656	2.0	0.0	2.0
3	24434657	24502408	2.0	0.0	2.0
3	24502409	75442499	2.0	0.0	2.0
3	75442500	75689144	2.0	0.0	2.0
3	75689145	87899999	2.0	0.0	2.0
3	93900000	117519001	4.0	2.0	6.0
3	117519002	123590961	4.0	2.0	6.0
3	123590962	123591013	4.0	2.0	6.0
3	123591014	131534651	4.0	2.0	6.0
3	131534652	173568351	4.0	2.0	6.0
3	173568352	173577240	4.0	2.0	6.0
3	173577241	195474966	4.0	2.0	6.0
