chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	1	21754018	1.0	1.0	2.0
1	21754019	21807057	1.0	1.0	2.0
1	21807058	49910022	1.0	1.0	2.0
1	49910023	49983201	1.0	1.0	2.0
1	49983202	69881096	1.0	1.0	2.0
1	69881097	69910843	1.0	1.0	2.0
1	69910844	71708384	1.0	1.0	2.0
1	71708385	71966770	1.0	1.0	2.0
1	71966771	72109993	1.0	1.0	2.0
1	72109994	72538119	1.0	1.0	2.0
1	72538120	74378616	1.0	1.0	2.0
1	74378617	74470034	1.0	1.0	2.0
1	74470035	75222003	1.0	1.0	2.0
1	75222004	75334996	1.0	1.0	2.0
1	75334997	80803309	1.0	1.0	2.0
1	80803310	81216558	1.0	1.0	2.0
1	81216559	82949950	1.0	1.0	2.0
1	82949951	83189580	1.0	1.0	2.0
1	83189581	83292138	1.0	1.0	2.0
1	83292139	83569922	1.0	1.0	2.0
1	83569923	88462678	1.0	1.0	2.0
1	88462679	96092780	1.0	1.0	2.0
1	96092781	98577901	1.0	1.0	2.0
1	98577902	98728742	1.0	1.0	2.0
1	98728743	102232535	1.0	1.0	2.0
1	102232536	102310056	1.0	1.0	2.0
1	102310057	103689936	1.0	1.0	2.0
1	103689937	104680005	1.0	1.0	2.0
1	104680006	107105320	1.0	1.0	2.0
1	107105321	107259963	1.0	1.0	2.0
1	107259964	121499999	1.0	1.0	2.0
1	121500000	128899999	1.0	1.0	2.0
1	128900000	152339997	1.0	1.0	2.0
1	152339998	157348138	1.0	1.0	2.0
1	157348139	157458003	1.0	1.0	2.0
1	157458004	173234202	1.0	1.0	2.0
1	173234203	173288002	1.0	1.0	2.0
1	173288003	177471098	1.0	1.0	2.0
1	177471099	190965411	1.0	1.0	2.0
1	190965412	191051899	1.0	1.0	2.0
1	191051900	192142579	1.0	1.0	2.0
1	192142580	192367213	1.0	1.0	2.0
1	192367214	193614881	1.0	1.0	2.0
1	193614882	193797801	1.0	1.0	2.0
1	193797802	194437899	1.0	1.0	2.0
1	194437900	195855405	1.0	1.0	2.0
1	195855406	196436201	1.0	1.0	2.0
1	196436202	197245891	1.0	1.0	2.0
1	197245892	197516534	1.0	1.0	2.0
1	197516535	197594942	1.0	1.0	2.0
1	197594943	198334492	1.0	1.0	2.0
1	198334493	247108537	1.0	1.0	2.0
1	247108538	247389897	1.0	1.0	2.0
1	247389898	249250620	1.0	1.0	2.0
2	22500	22492001	1.0	1.0	2.0
2	22492002	35586025	1.0	1.0	2.0
2	35586026	36288465	1.0	1.0	2.0
2	36288466	41433818	1.0	1.0	2.0
2	41433819	41647906	1.0	1.0	2.0
2	41647907	41667851	1.0	1.0	2.0
2	41667852	44099432	1.0	1.0	2.0
2	44099433	50851834	1.0	1.0	2.0
2	50851835	51200401	1.0	1.0	2.0
2	51200402	53134922	1.0	1.0	2.0
2	53134923	53170000	1.0	1.0	2.0
2	53170001	53470041	1.0	1.0	2.0
2	53470042	56610903	1.0	1.0	2.0
2	56610904	56650084	3.0	1.0	4.0
2	56650085	56951782	1.0	1.0	2.0
2	56951783	57217194	1.0	1.0	2.0
2	57217195	57807182	1.0	1.0	2.0
2	57807183	57924539	1.0	1.0	2.0
2	57924540	59699909	1.0	1.0	2.0
2	59699910	67286801	1.0	1.0	2.0
2	67286802	67419977	1.0	1.0	2.0
2	67419978	77170025	1.0	1.0	2.0
2	77170026	78642110	1.0	1.0	2.0
2	78642111	78821602	1.0	1.0	2.0
2	78821603	80865768	1.0	1.0	2.0
2	80865769	81664442	1.0	1.0	2.0
2	81664443	89195452	1.0	1.0	2.0
2	89195453	90499999	1.0	1.0	2.0
2	90500000	96799999	1.0	1.0	2.0
2	96800000	97832001	1.0	1.0	2.0
2	97832002	116802713	1.0	1.0	2.0
2	116802714	116805418	1.0	1.0	2.0
2	116805419	117681743	1.0	1.0	2.0
2	117681744	117817726	1.0	1.0	2.0
2	117817727	124060003	1.0	1.0	2.0
2	124060004	124090038	3.0	1.0	4.0
2	124090039	124339951	1.0	1.0	2.0
2	124339952	124710023	1.0	1.0	2.0
2	124710024	139788907	1.0	1.0	2.0
2	139788908	139861387	1.0	1.0	2.0
2	139861388	139863372	1.0	1.0	2.0
2	139863373	140937601	1.0	1.0	2.0
2	140937602	141080001	1.0	1.0	2.0
2	141080002	142577482	1.0	1.0	2.0
2	142577483	142836476	1.0	1.0	2.0
2	142836477	143917000	1.0	1.0	2.0
2	143917001	145471852	1.0	1.0	2.0
2	145471853	145610003	1.0	1.0	2.0
2	145610004	156223201	1.0	1.0	2.0
2	156223202	156439245	1.0	1.0	2.0
2	156439246	157670002	1.0	1.0	2.0
2	157670003	157746317	1.0	1.0	2.0
2	157746318	163839851	1.0	1.0	2.0
2	163839852	166847976	1.0	1.0	2.0
2	166847977	167838001	1.0	1.0	2.0
2	167838002	169807800	1.0	1.0	2.0
2	169807801	170004292	1.0	1.0	2.0
2	170004293	170005645	1.0	1.0	2.0
2	170005646	185122097	1.0	1.0	2.0
2	185122098	185199947	1.0	1.0	2.0
2	185199948	185367001	1.0	1.0	2.0
2	185367002	186436890	1.0	1.0	2.0
2	186436891	186671998	1.0	1.0	2.0
2	186671999	187083001	1.0	1.0	2.0
2	187083002	189534546	1.0	1.0	2.0
2	189534547	192961880	1.0	1.0	2.0
2	192961881	193200000	1.0	1.0	2.0
2	193200001	195856820	1.0	1.0	2.0
2	195856821	196042426	1.0	1.0	2.0
2	196042427	198966249	1.0	1.0	2.0
2	198966250	209942839	1.0	1.0	2.0
2	209942840	209948917	1.0	1.0	2.0
2	209948918	211378478	1.0	1.0	2.0
2	211378479	211516343	1.0	1.0	2.0
2	211516344	213201601	1.0	1.0	2.0
2	213201602	230714024	1.0	1.0	2.0
2	230714025	230905258	1.0	1.0	2.0
2	230905259	242999968	1.0	1.0	2.0
3	100074	637999	1.0	1.0	2.0
3	638000	1683559	1.0	1.0	2.0
3	1683560	6153386	1.0	1.0	2.0
3	6153387	6229990	1.0	1.0	2.0
3	6229991	18630877	1.0	1.0	2.0
3	18630878	18780010	1.0	1.0	2.0
3	18780011	18807799	3.0	1.0	4.0
3	18807800	24429934	1.0	1.0	2.0
3	24429935	26489995	1.0	1.0	2.0
3	26489996	26863408	1.0	1.0	2.0
3	26863409	26932023	1.0	1.0	2.0
3	26932024	29927745	1.0	1.0	2.0
3	29927746	29978471	1.0	1.0	2.0
3	29978472	30880400	1.0	1.0	2.0
3	30880401	34579844	1.0	1.0	2.0
