chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	61735	121482979	1	1	2
1	144007049	145714432	2	1	3
1	145715333	146991097	1	1	2
1	146992906	153994647	2	1	3
1	153997346	249224388	1	1	2
2	12784	168177028	1	1	2
2	168180464	168545200	1	0	1
2	168545375	201692449	1	1	2
2	201692776	243089456	1	0	1
3	60345	197896118	1	1	2
4	12281	165195344	1	1	2
4	165197517	165642530	1	0	1
4	165643475	191027923	1	1	2
5	15532	32818769	2	1	3
5	32819073	66162044	1	1	2
5	66162397	66956658	1	0	1
5	66963213	180790320	1	1	2
6	149661	67511962	1	1	2
6	67512682	68066484	1	0	1
6	68071641	171051005	1	1	2
7	43259	110411171	1	1	2
7	110416612	110926724	1	0	1
7	110932170	158407675	1	1	2
7	158410592	159127004	1	0	1
8	31254	125993399	1	1	2
8	125993773	126377567	1	0	1
8	126377604	146298155	1	1	2
9	46587	326448	0	0	0
9	326928	17297041	2	0	2
9	17297054	123708664	1	1	2
9	123709586	123871399	1	0	1
9	123874533	141091394	1	1	2
10	72759	64124332	1	1	2
10	64124735	135506704	1	0	1
11	198572	9450377	1	1	2
11	9450416	10062652	1	0	1
11	10062733	134944770	1	1	2
12	150442	13017111	1	0	1
12	13017255	68532747	1	1	2
12	68532841	68811278	2	1	3
12	68812120	133778189	1	1	2
13	19026949	44485618	1	1	2
13	44485892	48849834	1	0	1
13	48853071	51543089	0	0	0
13	51545054	53057371	1	0	1
13	53059216	62760286	1	1	2
13	62760607	63497596	1	0	1
13	63501160	70171358	1	1	2
13	70171425	70484181	1	0	1
13	70485102	115108397	1	1	2
14	19002124	44234974	1	1	2
14	44241318	107285437	1	0	1
15	20016328	102469040	1	1	2
16	60777	48612361	1	1	2
16	48614705	55519607	1	0	1
16	55521725	90287535	1	1	2
17	526	22235650	1	0	1
17	25270411	81049726	1	1	2
18	48133	77931058	1	1	2
18	77934681	78015057	1	0	1
19	90910	58904531	1	1	2
19	58904592	59097854	1	0	1
20	61305	62956153	1	1	2
21	10736871	48096957	1	1	2
22	16052528	51234455	1	1	2
