chromosome_index position alt_count ref_count
1 934952 7 20
1 2105377 9 105
1 6185633 3 13
1 11015223 24 83
1 11850725 11 27
1 11851273 17 64
1 12884679 5 22
1 16736388 15 30
1 19513101 11 41
1 20517387 16 61
1 23847476 10 50
1 25551510 20 99
1 28290149 4 13
1 32740623 23 98
1 37282732 15 62
1 46295119 12 81
1 47040664 18 46
1 63069891 26 87
1 65243706 20 157
1 68512815 40 108
1 71532463 9 125
1 74819794 25 132
1 75065496 48 178
1 77334339 7 8
1 87033222 18 65
1 89849809 5 22
1 91406639 24 102
1 99771716 32 127
1 101343406 7 41
1 109526005 17 67
1 114380719 21 74
1 144912139 11 155
1 150737202 43 195
1 152127432 57 352
1 152187603 33 1013
1 152671606 14 157
1 153721200 131 473
1 155260453 6 60
1 156040024 15 70
1 156640912 20 403
1 156640980 34 646
1 156721201 7 46
1 158627389 43 275
1 158644178 56 376
1 158746766 17 84
1 158906918 15 104
1 159023471 31 204
1 160326973 14 84
1 160390289 88 60
1 161200682 10 85
1 161596006 19 125
1 171250035 29 131
1 171549011 12 66
1 171605676 12 119
1 173454505 16 111
1 179316742 23 92
1 179959751 4 13
1 180804096 23 107
1 182025411 14 69
1 182993002 5 46
1 183201894 29 180
1 183617477 34 213
1 184446573 4 19
1 185703998 34 258
1 185988694 26 220
1 193218895 14 111
1 197024868 21 145
1 200587553 35 150
1 200635800 11 244
1 204006311 13 4
1 204946006 5 29
1 210970944 17 137
1 215813914 8 72
1 216138672 12 218
1 220928439 32 188
1 227174301 11 164
1 234742849 63 152
1 235346019 13 107
1 237806679 46 180
1 237947556 21 153
1 247039463 9 60
1 247588854 14 85
1 247875598 73 91
2 233127 5 31
2 25966945 28 124
2 29006799 6 75
2 32832633 19 100
2 33526632 10 88
2 36810584 15 88
2 37035918 12 66
2 39487861 4 47
2 77745843 8 50
2 87017610 21 141
2 99938356 5 22
2 108479211 25 138
2 112592273 19 122
2 113676327 9 41
2 120438503 8 73
2 128393857 6 69
2 130831816 75 163
2 130831817 75 164
2 152108144 15 92
2 152320185 26 111
2 158114939 6 102
2 160742944 12 86
2 166854585 7 80
2 179477781 25 50
2 179532244 6 30
2 179600423 13 52
2 189864209 28 79
2 202050731 7 54
2 202672348 10 91
2 207027515 4 77
2 216226219 18 95
2 223488993 27 149
2 225422486 9 52
2 228881246 9 94
2 231036809 14 128
2 231150529 19 96
2 231328805 17 35
2 232645927 3 6
2 234858761 4 21
2 242610823 4 21
3 9594088 12 43
3 10145979 9 67
3 38936185 23 109
3 39231006 10 35
3 44776456 16 70
3 47539857 34 69
3 49450518 13 44
3 50677799 48 159
3 52489697 9 19
3 52543237 7 46
3 52847505 16 66
3 73004335 4 38
3 101284217 23 90
3 107097305 27 102
3 108476012 15 41
3 115395012 15 56
3 119134970 5 82
3 119217754 21 94
3 119812362 4 19
3 119892253 21 84
3 129304863 33 118
3 142188994 7 26
3 143704687 20 69
3 150377805 27 122
3 150659411 10 50
3 154859918 54 288
3 179754389 28 199
3 180630498 30 167
3 182597428 5 69
3 183446516 6 86
3 185993333 19 125
3 191888366 15 265
3 195492285 8 49
3 195984696 12 57
4 501316 17 60
4 1808320 7 38
4 1980533 10 42
4 13604728 12 45
4 39448619 17 62
4 42022529 25 99
4 44682781 15 43
4 46334680 11 95
4 46930564 24 85
4 52894977 18 69
4 57877218 5 78
4 70513316 8 33
4 70513317 8 33
4 74902980 19 66
4 76452281 21 67
4 76793183 19 82
4 76943590 28 92
4 90856201 29 97
4 91230708 11 82
4 101947147 28 126
4 138451878 26 159
4 139981552 18 42
4 153258956 17 81
4 153259073 33 70
4 166232659 41 167
4 169208281 12 69
4 183600966 7 33
4 187005192 19 106
