chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	10001	1462244	2.0	1.0	3.0
1	1462245	2781139	1.0	1.0	2.0
1	2781140	85998107	2.0	1.0	3.0
1	85998108	121499999	2.0	1.0	3.0
1	121500000	128899999	2.0	1.0	3.0
1	128900000	142567802	2.0	1.0	3.0
1	142567803	144860974	2.0	1.0	3.0
1	144860975	149753801	5.0	2.0	7.0
1	149753802	155251492	5.0	2.0	7.0
1	155251493	155251637	5.0	2.0	7.0
1	155251638	155962943	9.0	2.0	11.0
1	155962944	155964512	2.0	1.0	3.0
1	155964513	237023784	2.0	1.0	3.0
1	237023785	237025381	2.0	1.0	3.0
1	237025382	247247500	2.0	1.0	3.0
1	247247501	249250620	2.0	1.0	3.0
2	20016	79844320	2.0	1.0	3.0
2	79844321	79859261	3.0	1.0	4.0
2	79859262	90441202	2.0	1.0	3.0
2	90441203	96799999	2.0	1.0	3.0
2	96800000	209260371	2.0	1.0	3.0
2	209260372	209260524	2.0	1.0	3.0
2	209260525	209385854	2.0	1.0	3.0
2	209385855	242951000	2.0	0.0	2.0
3	100074	22647997	2.0	0.0	2.0
3	22647998	22664828	3.0	0.0	3.0
3	22664829	55789057	2.0	0.0	2.0
3	55789058	75600638	2.0	0.0	2.0
3	75600639	77152027	2.0	0.0	2.0
3	77152028	81187275	2.0	2.0	4.0
3	81187276	82920032	2.0	2.0	4.0
3	82920033	84657036	4.0	2.0	6.0
3	84657037	87899999	2.0	2.0	4.0
3	93900000	122087256	4.0	2.0	6.0
3	122087257	127594927	4.0	2.0	6.0
3	127594928	127595341	4.0	2.0	6.0
3	127595342	127598806	4.0	2.0	6.0
3	127598807	128024800	6.0	2.0	8.0
3	128024801	128033277	6.0	2.0	8.0
3	128033278	138992500	6.0	2.0	8.0
3	138992501	165042364	7.0	2.0	9.0
3	165042365	166803165	7.0	2.0	9.0
3	166803166	180725752	7.0	2.0	9.0
3	180725753	180730207	8.0	2.0	10.0
3	180730208	197859220	8.0	2.0	10.0
4	71935	3894291	3.0	0.0	3.0
4	3894292	4216187	3.0	0.0	3.0
4	4216188	6957500	3.0	0.0	3.0
4	6957501	7052234	3.0	0.0	3.0
4	7052235	7052280	2.0	0.0	2.0
4	7052281	48199999	2.0	0.0	2.0
4	48200000	52699999	2.0	0.0	2.0
4	52700000	69373402	2.0	0.0	2.0
4	69373403	190749943	2.0	0.0	2.0
5	22500	39335879	2.0	2.0	4.0
5	39335880	39388425	4.0	2.0	6.0
5	39388426	39793833	2.0	2.0	4.0
5	39793834	46099999	2.0	2.0	4.0
5	50700000	64547122	2.0	0.0	2.0
5	64547123	64547161	2.0	0.0	2.0
5	64547162	180715810	2.0	0.0	2.0
6	39681	206091	2.0	0.0	2.0
6	206092	32486090	2.0	0.0	2.0
6	32486091	32558607	2.0	0.0	2.0
6	32558608	58699999	2.0	0.0	2.0
6	58700000	63299999	2.0	0.0	2.0
6	63300000	155468081	2.0	0.0	2.0
6	155468082	155480827	2.0	0.0	2.0
6	155480828	170921794	2.0	0.0	2.0
7	40386	6435357	2.0	1.0	3.0
7	6435358	6698128	2.0	1.0	3.0
7	6698129	57999999	2.0	1.0	3.0
7	58000000	61699999	2.0	1.0	3.0
7	61700000	133739978	2.0	1.0	3.0
7	133739979	158821400	2.0	1.0	3.0
8	10001	143206	2.0	0.0	2.0
8	143207	43099999	2.0	0.0	2.0
8	43100000	48099999	2.0	0.0	2.0
8	48100000	146364021	2.0	0.0	2.0
9	10001	203936	3.0	2.0	5.0
9	203937	18971473	4.0	2.0	6.0
9	18971474	18998989	3.0	2.0	5.0
9	18998990	41984202	4.0	2.0	6.0
9	41984203	44967511	3.0	2.0	5.0
9	44967512	45716601	2.0	1.0	3.0
9	45716602	47299999	2.0	1.0	3.0
9	47300000	50699999	2.0	1.0	3.0
9	50700000	67699801	2.0	1.0	3.0
9	67699802	68463801	3.0	1.0	4.0
9	68463802	69807499	3.0	2.0	5.0
9	69807500	100266205	2.0	0.0	2.0
9	100266206	100924403	4.0	0.0	4.0
9	100924404	122605793	2.0	0.0	2.0
9	122605794	140273200	2.0	0.0	2.0
10	94426	9192663	2.0	0.0	2.0
10	9192664	9219129	3.0	0.0	3.0
10	9219130	37999999	2.0	0.0	2.0
10	38000000	42299999	2.0	0.0	2.0
10	42300000	48749202	2.0	0.0	2.0
10	48749203	81455000	2.0	0.0	2.0
10	81455001	135389924	2.0	0.0	2.0
11	20721	196943	2.0	0.0	2.0
11	196944	51566847	2.0	0.0	2.0
11	51566848	55699999	2.0	0.0	2.0
11	55700000	134452200	2.0	0.0	2.0
12	110107	33299999	2.0	1.0	3.0
12	33300000	38199999	2.0	1.0	3.0
12	38200000	52707383	2.0	1.0	3.0
